date,temperature,humidity,precipitation,weather_type
2023-01-01,-2.5,45,0,맑음
2023-01-15,-5.2,35,1.2,눈
2023-02-01,-1.8,50,0,맑음
2023-02-15,2.3,55,5.5,비
2023-03-01,5.6,60,2.1,비
2023-03-15,8.9,65,0,흐림
2023-04-01,12.4,58,0,맑음
2023-04-15,15.7,62,8.2,비
2023-05-01,18.9,70,15.5,비
2023-05-15,21.3,75,22.3,비
2023-06-01,23.6,80,35.2,비
2023-06-15,25.8,85,42.1,비
2023-07-01,27.9,88,156.3,장마
2023-07-15,28.5,90,187.5,장마
2023-08-01,29.8,85,95.2,비
2023-08-15,30.2,82,65.8,맑음
2023-09-01,26.5,75,12.3,맑음
2023-09-15,23.8,70,8.5,맑음
2023-10-01,19.5,65,0,맑음
2023-10-15,15.2,60,3.2,비
2023-11-01,10.8,55,0,맑음
2023-11-15,6.5,50,1.5,흐림
2023-12-01,2.1,45,0,맑음
2023-12-15,-1.8,40,2.8,눈 
